,breakfast,cancelation,guest_reviews,location,price_AZN,review_number,title,type_room,distance_km,latitude,longitude
0,No,Yes,Very Good,Sabayil,50.0,742,Center Hotel Baku,Economy Double Room,0.15,40.34018472008257,49.81870865057885
1,Yes,Yes,Very Good,Sabayil,35.0,101,Madinah Hotel Baku,Single Room,2.3,40.34018472008257,49.81870865057885
2,Yes,Yes,Very Good,Sabayil,98.0,253,Shirvanshah Hotel,Budget Single Room,0.7,40.34018472008257,49.81870865057885
3,No,No,Very Good,Sabayil,10.0,745,SAHIL Hostel & Hotel,Bed in 10-Bed Mixed Dormitory Room,0.6,40.34018472008257,49.81870865057885
4,No,Yes,Very Good,Sabayil,26.0,22,La Villa Hotel Old Baku,Economy Double or Twin Room,0.6,40.34018472008257,49.81870865057885
5,No,Yes,Wonderful,Sabayil,180.0,1126,The Merchant Baku, Double Room No Window,0.35,40.34018472008257,49.81870865057885
6,No,No,Wonderful,Sabayil,82.0,299,Art Club,Standard Double Room,0.8,40.34018472008257,49.81870865057885
7,No,Yes,Good,Sabayil,20.0,62,Red Roof Hotel,Double Room with Garden View,2.9,40.34018472008257,49.81870865057885
8,No,Yes,Good,Other,26.0,47,ATFK Hotel Baku,Basic Single Room,4.7,,
9,No,Yes,Very Good,Nasimi,10.0,295,Hostello Hostel,Upper Bunk Bed in Female Dormitory Room 3,1.3,40.39482299502607,49.82684828968684
10,Yes,Yes,Excellent,Sabayil,45.0,107,ZamZam Hotel,Standard Double or Twin Room,2.4,40.34018472008257,49.81870865057885
11,No,Yes,Good,Other,45.0,292,Inside City Hotel Baku,Standard Double Room,2.7,,
12,Yes,Yes,Very Good,Nasimi,81.0,260,Grand Midway Hotel,Budget Double or Twin Room,0.3,40.39482299502607,49.82684828968684
13,Yes,Yes,Wonderful,Other,53.0,30,Avenue Hotel Baku by Smart,Budget Double Room,6.8,,
14,Yes,Yes,Good,Sabayil,60.0,14,Sera Boutique Hotel,Standard Double Room,0.1,40.34018472008257,49.81870865057885
15,Yes,Yes,Exceptional,Yasamal,80.0,258,Home Boutique Hotel,Twin Room with Private Bathroom,1.6,40.37910692339686,49.809651649057464
16,No,Yes,Very Good,Nasimi,45.0,16,Access Hotel,Twin Room with Bathroom,1.8,40.39482299502607,49.82684828968684
17,No,Yes,Exceptional,Other,11.0,2,Ijaz inn,Single Room with Shared Shower and Toilet,6.7,,
18,No,Yes,Very Good,Sabayil,96.0,145,Sapphire Inn Hotel,Business Double or Twin Room,0.7,40.34018472008257,49.81870865057885
19,No,Yes,Very Good,White City,181.0,2298,Baku Marriott Hotel Boulevard,Standard Guest Room with 2 Twin/Single Bed(s),3.9,40.38191540820948,49.88996746617085
20,No,Yes,Excellent,Nasimi,65.0,81,Clover Hotel Baku,Standard Single Room,1.6,40.39482299502607,49.82684828968684
21,Yes,Yes,Excellent,Sabayil,79.0,256,Hotel Square Inn,Standard Double or Twin Room,0.25,40.34018472008257,49.81870865057885
22,Yes,Yes,Excellent,Sabayil,65.0,497,Home Suites Baku-Halal Hotel,Superior Single Room,2.5,40.34018472008257,49.81870865057885
23,Yes,Yes,Good,Yasamal,50.0,296,Passage Boutique Hotel,Single Room with Bath,0.25,40.37910692339686,49.809651649057464
24,No,Yes,Good,Other,56.0,192,Arion Hotel Baku,Double or Twin Room with Spa Access,,,
25,No,Yes,Exceptional,Sabayil,180.0,3,VIP Apartment MARIOTT,Apartment with Sea View,0.8,40.34018472008257,49.81870865057885
26,No,Yes,Excellent,Yasamal,135.0,134,Mogan Hotel Baku,Standard Double Room,1.5,40.37910692339686,49.809651649057464
27,No,Yes,Wonderful,Sabayil,189.0,339,Landmark Hotel Baku,Deluxe Double Room with City View,1.3,40.34018472008257,49.81870865057885
28,Yes,Yes,Very Good,Sabayil,125.0,103,White Boutique Baku Hotel,Standard Double Room,0.1,40.34018472008257,49.81870865057885
29,Yes,Yes,,Sabayil,36.0,,Grand Palace,Double Room with Balcony,3.6,40.34018472008257,49.81870865057885
30,Yes,No,Very Good,Nasimi,86.0,216,Dondar Hotel Formula 1 View,Economy Single Room,1.6,40.39482299502607,49.82684828968684
31,Yes,Yes,Very Good,Sabayil,150.0,763,Promenade Hotel Baku,Budget Double Room ( No Window ) ,0.7,40.34018472008257,49.81870865057885
32,No,Yes,Good,Nasimi,131.0,489,Sapphire Hotel,Double or Twin Room,0.6,40.39482299502607,49.82684828968684
33,Yes,No,Score under 7,Sabayil,43.0,177,Old City Inn Hotel,Standard Single Room,0.4,40.34018472008257,49.81870865057885
34,No,Yes,Good,Sabayil,54.0,99,Qala Hotel,Budget Double Room,0.6,40.34018472008257,49.81870865057885
35,No,Yes,Score under 7,Sabayil,11.0,63,Centrum Hotel&Hostel,Mixed Dormitory Room,0.3,40.34018472008257,49.81870865057885
36,No,Yes,,Other,77.0,,ApartamentıAbuArena,Two-Bedroom Apartment,3.5,,
37,No,Yes,,Other,72.0,,Xatai apartment,Two-Bedroom Apartment,3.4,,
38,No,No,Wonderful,Nasimi,11.0,2,Hostello Baku,Bunk Bed in Male Dormitory Room ,1.2,40.39482299502607,49.82684828968684
39,No,Yes,Very Good,Other,15.0,6,Ariva Hotel Baku,Bunk Bed in Male Dormitory Room ,2.4,,
40,Yes,Yes,Exceptional,Sabayil,23.0,2,AL Khaleej Baku Hotel And Apr,Deluxe Double Room,4.4,40.34018472008257,49.81870865057885
41,No,Yes,Good,Sabayil,31.0,64,Altstadt Hotel & Cafe,Standard Double or Twin Room,0.5,40.34018472008257,49.81870865057885
42,No,Yes,Exceptional,Sabayil,150.0,5,Apartment For Kings,Apartment with Balcony,0.15,40.34018472008257,49.81870865057885
43,No,No,Exceptional,Nasimi,7.0,1,Punjab Hostel AZ,Bunk Bed in Male Dormitory Room ,0.6,40.39482299502607,49.82684828968684
44,No,No,Good,Yasamal,34.0,44,Dionis Baku Hotel,Single Room with Private Bathroom,0.6,40.37910692339686,49.809651649057464
45,No,Yes,Score under 7,Other,21.0,489,Altus Hotel Baku,Budget Single Room,4.8,,
46,Yes,Yes,Excellent,Sabayil,90.0,108,Regal Inn Badamdar Hotel,Standard Double Room,3.3,40.34018472008257,49.81870865057885
47,No,Yes,Score under 7,Yasamal,,88,Lake Palace Baku,Standard Single Room ,2.2,40.37910692339686,49.809651649057464
48,No,Yes,Very Good,Nasimi,135.0,5,Mc Donalds Apartment,Apartment with Sea View,0.15,40.39482299502607,49.82684828968684
49,Yes,Yes,Exceptional,Sabayil,23.0,3,Baku Residency,Double Room with Shared Bathroom,5.6,40.34018472008257,49.81870865057885
50,No,No,Very Good,Nasimi,176.0,842,"Holiday Inn Baku, an IHG Hotel",King Room - Non Smoking,1.9,40.39482299502607,49.82684828968684
51,No,Yes,Good,Sabayil,22.0,48,Antique Hotel Baku,Standard Double Room,0.5,40.34018472008257,49.81870865057885
52,No,No,Excellent,Other,70.0,672,ibis Baku City,Budget Double Room,3.5,,
53,No,No,Excellent,Sabayil,48.0,86,Boulevard Inn,Double Room,1.3,40.34018472008257,49.81870865057885
54,Yes,Yes,Very Good,Sabayil,71.0,202,Nizami Hotel,Standard Double or Twin Room,0.1,40.34018472008257,49.81870865057885
55,Yes,Yes,Good,Sabayil,130.0,939,Theatrum Hotel Baku,Standard Budget King Room (no window),0.35,40.34018472008257,49.81870865057885
56,No,Yes,Good,Yasamal,9.0,92,Flora Hostel,Single Bed in Mixed Dormitory Room,0.3,40.37910692339686,49.809651649057464
57,No,Yes,Excellent,Nasimi,129.0,119,Parkside Hotel & Apartments,Standard Double or Twin Room,1.6,40.39482299502607,49.82684828968684
58,Yes,Yes,Exceptional,Sabayil,40.0,93,NAR BOUTIQUE HOTEL,Twin Room with View,3.8,40.34018472008257,49.81870865057885
59,Yes,Yes,Wonderful,Sabayil,80.0,83,Seven Rooms Boutique Hotel,Double Room,0.6,40.34018472008257,49.81870865057885
60,Yes,No,Excellent,Nasimi,50.0,27,Best City Hotel,Standard Double or Twin Room,0.35,40.39482299502607,49.82684828968684
61,No,No,Excellent,Sabayil,285.0,792,"InterContinental Baku, an IHG Hotel",Classic King Room - Non-Smoking ,0.7,40.34018472008257,49.81870865057885
62,No,No,Wonderful,Nasimi,363.0,548,JW Marriott Absheron Baku Hotel,"Deluxe, Guest room, 2 Double, City view",1.7,40.39482299502607,49.82684828968684
63,Yes,Yes,Good,Sabayil,124.0,886,Shah Palace Luxury Museum Hotel,Standard Double Room,0.35,40.34018472008257,49.81870865057885
64,Yes,Yes,Wonderful,Other,100.0,185,Modern Hotel,Standard Double Room,3.5,,
65,No,No,Excellent,Sabayil,249.0,896,"Fairmont Baku, Flame Towers",Deluxe King Room City View,1.5,40.34018472008257,49.81870865057885
66,No,Yes,Excellent,Sabayil,44.0,181,East Legend Hotel,Standard Single Room,2.6,40.34018472008257,49.81870865057885
67,No,Yes,,Other,70.0,,Best Hotel Baku,One-Bedroom Suite,3.4,,
68,Yes,Yes,Very Good,Sabayil,77.0,70,Renaissance Boutique,Deluxe Room,0.45,40.34018472008257,49.81870865057885
69,No,No,Very Good,Sabayil,147.0,1436,Park Inn by Radisson Baku Hotel,Standard Room,,40.34018472008257,49.81870865057885
70,Yes,Yes,Good,Sabayil,56.0,63,Donna Hotel,Standard Double or Twin Room,0.2,40.34018472008257,49.81870865057885
71,Yes,Yes,Excellent,Other,70.0,295,Square Baku Hotel,Budget Single Room,0.2,,
72,No,Yes,Good,Sabayil,45.0,127,Shalimar Boutique Hotel,Large Double Room,0.35,40.34018472008257,49.81870865057885
73,No,Yes,Very Good,Yasamal,13.0,27,Home Boutique Hostel,Bed in Male Dormitory Room,1.3,40.37910692339686,49.809651649057464
74,Yes,Yes,Good,Sabayil,77.0,59,Kasamasa Hotel,Superior King Room,0.4,40.34018472008257,49.81870865057885
75,Yes,Yes,Very Good,Sabayil,86.0,381,La Casa Nizami,Standard Double or Twin Room,0.1,40.34018472008257,49.81870865057885
76,No,Yes,Wonderful,Other,159.0,591,FLY INN BAKU,Classic King Room,0.9,,
77,No,Yes,Very Good,Yasamal,51.0,31,Prestige Boutique Hotel,Deluxe Double Room,0.2,40.37910692339686,49.809651649057464
78,No,Yes,Excellent,Sabayil,77.0,287,Sunday Hotel Baku,Standard Single Room,0.45,40.34018472008257,49.81870865057885
79,Yes,Yes,Excellent,Sabayil,129.0,19,Malakan Hotel,Budget Double Room,0.2,40.34018472008257,49.81870865057885
80,Yes,Yes,Score under 7,Other,36.0,86,Bosfor Hotel,Standard Single Room,4.9,,
81,No,Yes,Excellent,Sabayil,61.0,49,Solo Hotel on Nizami street,Triple Room,0.35,40.34018472008257,49.81870865057885
82,Yes,Yes,Very Good,Other,68.0,695,ALBA HOTEL & SPA,Standard Double or Twin Room,4.8,,
83,No,Yes,Excellent,Sabayil,91.0,303,Sapphire Bayil,Standard Double Room,3.2,40.34018472008257,49.81870865057885
84,No,Yes,Very Good,Other,104.0,476,Excelsior Hotel & Spa Baku,Standard Double Room,3.5,,
85,No,Yes,Excellent,Yasamal,102.0,157,Deniz Inn City Hotel,Standard Double Room,0.3,40.37910692339686,49.809651649057464
86,No,Yes,Score under 7,Other,40.0,84,Mensen Hotel Baku,Large Single Room,4.8,,
87,Yes,Yes,Wonderful,Yasamal,88.0,309,City Park Hotel,Standard Double or Twin Room,0.3,40.37910692339686,49.809651649057464
88,No,No,Good,Sabayil,,840,Ramada by Wyndham Baku,Deluxe Twin Room,7.8,40.34018472008257,49.81870865057885
89,Yes,Yes,Very Good,Sabayil,56.0,128,Baku Sea View Hotel,Deluxe King Room,1.1,40.34018472008257,49.81870865057885
90,Yes,Yes,Exceptional,Sabayil,24.0,1,Crown International Hostel Baku,Budget Double Room,4.4,40.34018472008257,49.81870865057885
91,Yes,Yes,Excellent,Nasimi,142.0,117,1883 Boutique Hotel,Large Double Room,0.7,40.39482299502607,49.82684828968684
92,No,No,Wonderful,Sabayil,58.0,303,Moss Art Boutique Hotel,Double Room,0.1,40.34018472008257,49.81870865057885
93,Yes,No,Good,Nasimi,61.0,254,Best Center Hotel,Budget Single Room,0.25,40.39482299502607,49.82684828968684
94,No,Yes,Good,Nasimi,93.0,10,Premier Palace Baku,Standard Double or Twin Room,,40.39482299502607,49.82684828968684
95,No,No,Excellent,Sabayil,282.0,723,Hilton Baku,King Guest Room,1.1,40.34018472008257,49.81870865057885
96,No,Yes,,Nasimi,33.0,,Apartment in Baku,One-Bedroom Apartment,0.9,40.39482299502607,49.82684828968684
97,No,Yes,Very Good,Other,118.0,49,Divan Express Baku,Standard Double Room,4.1,,
98,No,Yes,Wonderful,Sabayil,50.0,86,Sazeli Boutique Hotel,Small Double Room,0.35,40.34018472008257,49.81870865057885
99,Yes,Yes,Very Good,Nasimi,117.0,140,Port Rivoli Baku Luxury Boutique Hotel,Standard Double Room,,40.39482299502607,49.82684828968684
100,Yes,Yes,Wonderful,Other,90.0,22,Madison Hotel Baku,Standard Double Room,3.2,,
101,No,Yes,Wonderful,Nasimi,153.0,1933,Winter Park Hotel Baku,Standard Double Room,0.5,40.39482299502607,49.82684828968684
102,No,Yes,Very Good,Sabayil,79.0,48,Sweet Garden Hotel,Twin Room,0.8,40.34018472008257,49.81870865057885
103,No,Yes,Excellent,Yasamal,54.0,360,Royal Palace Hotel Baku,Deluxe Room,0.3,40.37910692339686,49.809651649057464
104,No,No,Wonderful,Sabayil,178.0,125,Sultan Inn Boutique Hotel,Superior Double Room,0.5,40.34018472008257,49.81870865057885
105,No,Yes,Excellent,Nasimi,45.0,45,Citadel Boutique Hotel,Deluxe Double Room,0.2,40.39482299502607,49.82684828968684
106,No,Yes,Wonderful,Other,102.0,154,Golden Horn Apart Hotel,Deluxe Double Room,4.4,,
107,Yes,Yes,Exceptional,Sabayil,181.0,41,Royal Antique Boutique Hotel,Double Room,0.8,40.34018472008257,49.81870865057885
108,No,No,Exceptional,Sabayil,108.0,138,Centric Baku Boutique Hotel,Double or Twin Room,0.4,40.34018472008257,49.81870865057885
109,Yes,Yes,Wonderful,Yasamal,52.0,120,Cth-Baku-Hostel,Budget Twin Room,1.1,40.37910692339686,49.809651649057464
110,Yes,No,Wonderful,Nasimi,77.0,296,Boutique Hotel Baku,Single Room with Bathroom,0.6,40.39482299502607,49.82684828968684
111,No,Yes,Very Good,Nasimi,170.0,1407,Courtyard by Marriott Baku,King Room,0.6,40.39482299502607,49.82684828968684
112,No,No,Wonderful,Yasamal,71.0,347,Eleven Hotel Baku,Budget Single Room,0.15,40.37910692339686,49.809651649057464
113,Yes,Yes,Very Good,Sabayil,34.0,143,Sea Pearl Hotel,Large Single Room,3.8,40.34018472008257,49.81870865057885
114,Yes,Yes,Score under 7,Nasimi,36.0,119,Istanbul Gold Baku Hotel,Budget Single Room,,40.39482299502607,49.82684828968684
115,Yes,Yes,Very Good,Nasimi,64.0,376,New Baku Hotel,Standard Single Room,,40.39482299502607,49.82684828968684
116,Yes,Yes,Very Good,Other,80.0,46,Rusel Park Hotel,Large Double Room,4.1,,
117,No,Yes,Very Good,Sabayil,81.0,159,Liman Hotel Baku,Standard King Room,0.8,40.34018472008257,49.81870865057885
118,Yes,No,Excellent,Sabayil,54.0,212,Du Port Hotel,Standard Single Room,0.25,40.34018472008257,49.81870865057885
119,No,Yes,,Other,22.0,,"Отдельная комната с общей кухней, ванной, туалетом",Apartment With Shared Bathroom,0.8,,
120,No,Yes,Good,Sabayil,45.0,102,Rigs Hotel Boulevard,Standard Single Room,1.2,40.34018472008257,49.81870865057885
121,Yes,Yes,Wonderful,Nasimi,60.0,72,OLF Hotel,Budget Single Room,0.35,40.39482299502607,49.82684828968684
122,No,Yes,Very Good,Sabayil,75.0,225,Boutique Hotel Avenue,Double Room,0.5,40.34018472008257,49.81870865057885
123,No,Yes,Score under 7,Other,45.0,151,Nord Hotel Baku,Budget Double Room,0.1,,
124,No,No,Excellent,Sabayil,15.0,292,Travel Inn Hostel,Single Bed in Mixed Dormitory Room,0.5,40.34018472008257,49.81870865057885
125,No,Yes,Good,Sabayil,100.0,3,F1 Track & Sea View Apartment On Burla Khatun,Two-Bedroom Apartment,0.7,40.34018472008257,49.81870865057885
126,No,Yes,,Other,60.0,,Ev,One-Bedroom Apartment,1.1,,
127,No,No,Very Good,Sabayil,810.0,59,Yacht club conference hall,Holiday Home,,40.34018472008257,49.81870865057885
128,No,Yes,Exceptional,Nasimi,253.0,6,Port Baku,One-Bedroom Apartment,,40.39482299502607,49.82684828968684
129,No,Yes,Excellent,Other,72.0,7,Apartment in Baku,Superior Apartment,2.5,,
130,No,Yes,,Nasimi,83.0,,Winter park apartment,Three-Bedroom Apartment,1.2,40.39482299502607,49.82684828968684
131,No,Yes,,Other,52.0,,дом в новханах у моря,Four-Bedroom House,7.8,,
132,No,Yes,,Other,65.0,,Shuvelan 1 Villa,Villa with Garden View,0.6,,
133,No,Yes,,Other,154.0,,The Orange Villa,One-Bedroom Villa,9.7,,
134,No,Yes,,Sabayil,238.0,,Apartment near KFC Baku,Apartment,0.4,40.34018472008257,49.81870865057885
135,No,Yes,,Nasimi,100.0,,"Apartment Nizami 60, Baku",Superior Apartment,0.3,40.39482299502607,49.82684828968684
136,No,Yes,,Yasamal,170.0,,VIP Apartment On Nizami Street,Apartment with Sea View,0.3,40.37910692339686,49.809651649057464
137,No,Yes,Exceptional,Nasimi,285.0,1,Apartment on Tarqovu steert,Apartment,0.7,40.39482299502607,49.82684828968684
138,No,Yes,Exceptional,Nasimi,100.0,1,Mc Donalds Apartment Gold,Deluxe Apartment,0.2,40.39482299502607,49.82684828968684
139,No,Yes,Exceptional,Other,65.0,2,Luxe Azure Apartment,One-Bedroom Apartment,3.1,,
140,No,Yes,Exceptional,Other,72.0,13,Cozy apartment in city center by Baku Housing,Two-Bedroom Apartment,3.6,,
141,No,Yes,Exceptional,Sabayil,200.0,1,Special Apartment VIP Nizami 112,Apartment with Balcony,0.7,40.34018472008257,49.81870865057885
142,No,Yes,,Nasimi,80.0,,Квартира,One-Bedroom Apartment,1.7,40.39482299502607,49.82684828968684
143,No,Yes,,Nasimi,128.0,,Piramida.apartment,Three-Bedroom Apartment,0.6,40.39482299502607,49.82684828968684
144,No,Yes,,Sabayil,130.0,,Дом у главный трассы,Deluxe Villa,3.6,40.34018472008257,49.81870865057885
145,Yes,No,Score under 7,Nasimi,135.0,1,Port Baku Residance One Bedroom,Deluxe King Room,2.1,40.39482299502607,49.82684828968684
146,No,No,Exceptional,Sabayil,119.0,4,Deniz Inn Apartment,Apartment with Garden View,1.1,40.34018472008257,49.81870865057885
147,No,Yes,,Nasimi,72.0,,Квартира,Two-Bedroom House,0.3,40.39482299502607,49.82684828968684
148,No,No,Very Good,Yasamal,110.0,43,Amber Hotel,Double or Twin Room,1.2,40.37910692339686,49.809651649057464
149,No,No,Exceptional,Sabayil,146.0,10,Gulluoglu Royal Deluxe Apartment,Deluxe Apartment,0.6,40.34018472008257,49.81870865057885
150,No,No,,Nasimi,116.0,,Mercury sweet house,Two-Bedroom Apartment,0.5,40.39482299502607,49.82684828968684
151,No,Yes,,Sabayil,60.0,,Boulvard apartment,Two-Bedroom Apartment,1.1,40.34018472008257,49.81870865057885
152,No,Yes,Exceptional,Other,30.0,4,West Shine Boutique Hotel,Single Room,,,
153,Yes,No,Exceptional,Yasamal,79.0,5,Miraj hotel,Standard Double Room,1.9,40.37910692339686,49.809651649057464
154,No,Yes,Exceptional,Nasimi,333.0,1,Luxary Apartment ISR Plaza,Three-Bedroom Apartment,0.2,40.39482299502607,49.82684828968684
155,No,Yes,Score under 7,Other,200.0,10,Sea Breeze Apartments,Deluxe Double Room with Balcony and Sea View,5.9,,
156,No,Yes,,Sabayil,49.0,,Dublex apartment in Fountains,One-Bedroom Apartment,0.15,40.34018472008257,49.81870865057885
157,No,Yes,,Sabayil,100.0,,3 komnotnaya kvartira,Three-Bedroom Apartment,0.5,40.34018472008257,49.81870865057885
158,No,No,Exceptional,Sabayil,135.0,1,Sea View Apartment Burj Khalifa,Apartment with Sea View,0.7,40.34018472008257,49.81870865057885
159,No,No,Good,Other,78.0,17,Manor Hotel,Standard Double Room,1.7,,
160,No,Yes,Exceptional,Other,90.0,11,Park Azure Apartment Deluxe 2 Bedroom,Two-Bedroom Apartment,3.3,,
161,No,No,Wonderful,Other,198.0,1,Sweet apartment in Baku Palace,Three-Bedroom Apartment,2.5,,
162,No,No,,Sabayil,41.0,,Solo Inn Hotel,Small Single Room,0.35,40.34018472008257,49.81870865057885
163,No,No,Exceptional,Sabayil,152.0,5,Azneft Square Flame Towers View Apartment,Deluxe Apartment,,40.34018472008257,49.81870865057885
164,No,No,Very Good,Nasimi,81.0,22,Diplomat Suites,Deluxe Queen Studio ,1.1,40.39482299502607,49.82684828968684
165,No,No,Score under 7,Yasamal,60.0,22,Dubai International Hotel,Standard Double Room,2.9,40.37910692339686,49.809651649057464
166,No,Yes,,Sabayil,100.0,,View Apartment Baku,Apartment with Sea View,0.7,40.34018472008257,49.81870865057885
167,No,No,Exceptional,Sabayil,101.0,10,Monolit Apartment,Deluxe Apartment,0.25,40.34018472008257,49.81870865057885
168,No,Yes,,Other,77.0,,Guneshli Apartment,One-Bedroom Apartment,,,
169,No,Yes,Good,Nasimi,270.0,4,Bulvar Residance Sea view,Apartment,1.8,40.39482299502607,49.82684828968684
170,No,Yes,,Sabayil,109.0,,Gloriya 2 bedroom,One-Bedroom Apartment,0.4,40.34018472008257,49.81870865057885
171,No,Yes,,Other,78.0,,Park Azure 47,One-Bedroom Apartment,3.4,,
172,No,Yes,Score under 7,Nasimi,125.0,12,Port Baku Residance Qroup Family,One-Bedroom Apartment,2.1,40.39482299502607,49.82684828968684
173,No,Yes,Exceptional,Nasimi,209.0,3,Special Tropical Marina House,Apartment with Sea View,0.45,40.39482299502607,49.82684828968684
174,No,Yes,Wonderful,Nasimi,316.0,5,Royal Suite Apartment on Nizami Street,Apartment,,40.39482299502607,49.82684828968684
175,No,Yes,Exceptional,Sabayil,250.0,2,CENTRAL APARTMENT BAKU ( Formula 1),Apartment with Terrace,0.5,40.34018472008257,49.81870865057885
176,No,No,Good,Other,72.0,18,Caspian Business Hotel & SPA,Standard Double Room,6.4,,
177,No,No,Exceptional,Nasimi,81.0,4,Apartment near 28 Mall,One-Bedroom Apartment,1.8,40.39482299502607,49.82684828968684
178,No,No,Wonderful,Sabayil,70.0,64,Bayil Breeze Hotel & Restaurant,Large Double Room,2.6,40.34018472008257,49.81870865057885
179,No,Yes,,Other,150.0,,Buzovna Delmar Residence,One-Bedroom Apartment,9.7,,
180,No,Yes,,Sabayil,104.0,,Real Nizami Street Apartment,Two-Bedroom Apartment,0.6,40.34018472008257,49.81870865057885
181,No,Yes,Score under 7,Sabayil,82.0,3,ONE BEDROOM APARTMENT BY HILTON Near By bulivar #Fountain Square #NizamiStreet #McDonald,Two-Bedroom Apartment,1.2,40.34018472008257,49.81870865057885
182,Yes,No,Very Good,Other,99.0,34,BS Hotel,Deluxe Double Studio,3.1,,
183,No,Yes,Very Good,Other,75.0,31,City Apartments,Standard Apartment,,,
184,No,Yes,,Other,110.0,,Abmasador Apartment,Apartment,3.3,,
185,No,No,Exceptional,Sabayil,288.0,1,VIP Apartment PANAMERA,Apartment,0.35,40.34018472008257,49.81870865057885
186,No,Yes,Wonderful,Yasamal,40.0,9,Baku Butik Mini-Hotel,Triple Room with Shared Bathroom,3.6,40.37910692339686,49.809651649057464
187,No,Yes,Wonderful,Other,230.0,14,Park Azure apartment by Baku Housing,Deluxe Apartment,3.4,,
188,No,Yes,,Nasimi,100.0,,Apartment on Shimarik - Targovi Konsul,Apartment,0.2,40.39482299502607,49.82684828968684
189,No,Yes,,Yasamal,70.0,,"""METROPOL"" APARTMENT HOTEL",Apartment,1.8,40.37910692339686,49.809651649057464
190,Yes,Yes,Very Good,Sabayil,35.0,83,My Bed,Standard Single Room,2.4,40.34018472008257,49.81870865057885
191,No,Yes,,Nasimi,219.0,,Baku Park View 15 luxury Home,Two-Bedroom Apartment,0.9,40.39482299502607,49.82684828968684
192,No,Yes,,Other,128.0,,red vılla bakı,Two-Bedroom Villa,1.2,,
193,No,Yes,Exceptional,Nasimi,238.0,6,Luxary Apartments,Three-Bedroom Apartment,0.2,40.39482299502607,49.82684828968684
194,No,Yes,Exceptional,Other,150.0,3,Megafun Luxury Family Apartment,Two-Bedroom Apartment,3.3,,
195,No,Yes,Score under 7,Sabayil,65.0,1,Fountain Square Baku,One-Bedroom Apartment,0.1,40.34018472008257,49.81870865057885
196,No,Yes,Exceptional,Nasimi,130.0,1,VIP APARTMENT IN BULVARr,Apartment with Balcony,1.4,40.39482299502607,49.82684828968684
